Date,Description,Amount
01/05/2024,"STARBUCKS STORE 12345",-6.75
01/07/2024,"AMAZON WEB SERVICES",-149.99
01/10/2024,"OFFICE DEPOT #1234",-87.50
01/12/2024,"UBER TRIP",-24.50
01/15/2024,"ZOOM VIDEO COMMUNICATIONS",-14.99
01/18/2024,"DELTA AIRLINES",-425.00
01/20/2024,"MARRIOTT HOTEL SF",-289.00
01/22/2024,"SHELL OIL 12345",-52.30
01/25/2024,"GOOGLE ADS",-500.00
01/28/2024,"CHIPOTLE MEXICAN GRILL",-15.45
02/01/2024,"WEWORK MEMBERSHIP",-450.00
02/03/2024,"STRIPE PROCESSING FEE",-45.00
02/05/2024,"ADOBE CREATIVE CLOUD",-54.99
02/08/2024,"FEDEX SHIPPING",-28.50
02/10/2024,"DOORDASH ORDER",-32.00
02/12/2024,"VERIZON WIRELESS",-120.00
02/15/2024,"QUICKBOOKS SUBSCRIPTION",-25.00
02/18/2024,"STAPLES OFFICE SUPPLIES",-145.00
02/20/2024,"UNITED AIRLINES",-380.00
02/22/2024,"HILTON HOTELS",-199.00
02/25/2024,"PARKING LOT FEE",-15.00
02/28/2024,"LINKEDIN LEARNING",-29.99
03/02/2024,"SLACK TECHNOLOGIES",-12.50
03/05/2024,"CHEVRON GAS STATION",-48.75
03/08/2024,"COMCAST BUSINESS",-150.00
03/10/2024,"FACEBOOK ADS",-350.00
03/12/2024,"PANERA BREAD",-18.50
03/15/2024,"UPWORK FREELANCER",-250.00
03/18/2024,"HERTZ CAR RENTAL",-185.00
03/20/2024,"BUSINESS LICENSE RENEWAL",-150.00
