Date,Description,Amount,Category
01/05/2026,"STARBUCKS STORE 12345",-6.75,MEALS
01/07/2026,"AMAZON WEB SERVICES",-149.99,SOFTWARE
01/10/2026,"OFFICE DEPOT #1234",-87.50,OFFICE SUPPLIES
01/15/2026,"ZOOM VIDEO COMMUNICATIONS",-14.99,SOFTWARE
01/18/2026,"DELTA AIRLINES",-425.00,TRAVEL
01/20/2026,"MARRIOTT HOTEL SF",-289.00,TRAVEL
01/25/2026,"GOOGLE ADS",-500.00,ADVERTISING
02/01/2026,"WEWORK MEMBERSHIP",-450.00,RENT
02/05/2026,"ADOBE CREATIVE CLOUD",-54.99,SOFTWARE
02/12/2026,"VERIZON WIRELESS",-120.00,UTILITIES
